Drawn_Cards,Dealer_Up,Num_of_Hits,Seat_At_Table,Did_YOU_Win
"['Ace of Clubs', '4 of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Spades', '7 of Clubs', '4 of Hearts', '5 of Spades', '7 of Spades', 'Jack of Clubs', 'King of Clubs', '3 of Spades', '4 of Spades', 'King of Spades', '6 of Diamonds', '9 of Hearts', 'Jack of Diamonds']",Ace of Clubs,0,2,0
"['Ace of Clubs', '4 of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Spades', '7 of Clubs', '4 of Hearts', '5 of Spades', '7 of Spades', 'Jack of Clubs', 'King of Clubs', '3 of Spades', '4 of Spades', 'King of Spades', '6 of Diamonds', '9 of Hearts', 'Jack of Diamonds']",Ace of Clubs,0,3,0
"['Ace of Clubs', '4 of Clubs', '2 of Hearts', 'Jack of Hearts', 'Jack of Spades', '7 of Clubs', '4 of Hearts', '5 of Spades', '7 of Spades', 'Jack of Clubs', 'King of Clubs', '3 of Spades', '4 of Spades', 'King of Spades', '6 of Diamonds', '9 of Hearts', 'Jack of Diamonds']",Ace of Clubs,0,4,0
"['King of Diamonds', '4 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Spades', '9 of Diamonds', '9 of Clubs', 'King of Spades', '4 of Diamonds']",King of Diamonds,1,0,0
"['King of Diamonds', '4 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Spades', '9 of Diamonds', '9 of Clubs', 'King of Spades', '4 of Diamonds', 'Queen of Clubs']",King of Diamonds,0,1,0
"['King of Diamonds', '4 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Spades', '9 of Diamonds', '9 of Clubs', 'King of Spades', '4 of Diamonds', 'Queen of Clubs']",King of Diamonds,0,2,0
"['King of Diamonds', '4 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Spades', '9 of Diamonds', '9 of Clubs', 'King of Spades', '4 of Diamonds', 'Queen of Clubs']",King of Diamonds,2,3,0
"['King of Diamonds', '4 of Spades', 'King of Hearts', '9 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Spades', '9 of Diamonds', '9 of Clubs', 'King of Spades', '4 of Diamonds', 'Queen of Clubs', '8 of Clubs', 'Ace of Clubs']",King of Diamonds,0,4,0
"['King of Spades', '9 of Hearts', '10 of Diamonds', 'Queen of Clubs', '4 of Spades', '5 of Clubs', 'King of Diamonds', '7 of Clubs', 'Ace of Diamonds', 'Ace of Spades', '2 of Diamonds']",King of Spades,0,0,0
"['King of Spades', '9 of Hearts', '10 of Diamonds', 'Queen of Clubs', '4 of Spades', '5 of Clubs', 'King of Diamonds', '7 of Clubs', 'Ace of Diamonds', 'Ace of Spades', '2 of Diamonds']",King of Spades,1,1,0
"['King of Spades', '9 of Hearts', '10 of Diamonds', 'Queen of Clubs', '4 of Spades', '5 of Clubs', 'King of Diamonds', '7 of Clubs', 'Ace of Diamonds', 'Ace of Spades', '2 of Diamonds', '6 of Spades']",King of Spades,0,2,0
"['King of Spades', '9 of Hearts', '10 of Diamonds', 'Queen of Clubs', '4 of Spades', '5 of Clubs', 'King of Diamonds', '7 of Clubs', 'Ace of Diamonds', 'Ace of Spades', '2 of Diamonds', '6 of Spades']",King of Spades,0,3,0
"['King of Spades', '9 of Hearts', '10 of Diamonds', 'Queen of Clubs', '4 of Spades', '5 of Clubs', 'King of Diamonds', '7 of Clubs', 'Ace of Diamonds', 'Ace of Spades', '2 of Diamonds', '6 of Spades']",King of Spades,0,4,0
"['3 of Diamonds', '10 of Hearts', '5 of Clubs', '5 of Hearts', '7 of Spades', '7 of Diamonds', 'Jack of Diamonds', '9 of Clubs', 'King of Hearts', '5 of Spades', '8 of Diamonds']",3 of Diamonds,1,0,1
"['3 of Diamonds', '10 of Hearts', '5 of Clubs', '5 of Hearts', '7 of Spades', '7 of Diamonds', 'Jack of Diamonds', '9 of Clubs', 'King of Hearts', '5 of Spades', '8 of Diamonds', '3 of Clubs']",3 of Diamonds,1,1,0
"['3 of Diamonds', '10 of Hearts', '5 of Clubs', '5 of Hearts', '7 of Spades', '7 of Diamonds', 'Jack of Diamonds', '9 of Clubs', 'King of Hearts', '5 of Spades', '8 of Diamonds', '3 of Clubs', '10 of Diamonds']",3 of Diamonds,0,2,0
"['3 of Diamonds', '10 of Hearts', '5 of Clubs', '5 of Hearts', '7 of Spades', '7 of Diamonds', 'Jack of Diamonds', '9 of Clubs', 'King of Hearts', '5 of Spades', '8 of Diamonds', '3 of Clubs', '10 of Diamonds']",3 of Diamonds,0,3,1
"['3 of Diamonds', '10 of Hearts', '5 of Clubs', '5 of Hearts', '7 of Spades', '7 of Diamonds', 'Jack of Diamonds', '9 of Clubs', 'King of Hearts', '5 of Spades', '8 of Diamonds', '3 of Clubs', '10 of Diamonds']",3 of Diamonds,0,4,0
"['10 of Hearts', '10 of Spades', 'Ace of Hearts', 'Jack of Hearts', 'King of Hearts', 'Ace of Spades', 'Ace of Diamonds', '5 of Clubs', 'King of Diamonds', '5 of Diamonds', 'King of Clubs']",10 of Hearts,1,0,0
"['10 of Hearts', '10 of Spades', 'Ace of Hearts', 'Jack of Hearts', 'King of Hearts', 'Ace of Spades', 'Ace of Diamonds', '5 of Clubs', 'King of Diamonds', '5 of Diamonds', 'King of Clubs', '9 of Clubs']",10 of Hearts,0,1,0
"['10 of Hearts', '10 of Spades', 'Ace of Hearts', 'Jack of Hearts', 'King of Hearts', 'Ace of Spades', 'Ace of Diamonds', '5 of Clubs', 'King of Diamonds', '5 of Diamonds', 'King of Clubs', '9 of Clubs']",10 of Hearts,0,2,0
"['10 of Hearts', '10 of Spades', 'Ace of Hearts', 'Jack of Hearts', 'King of Hearts', 'Ace of Spades', 'Ace of Diamonds', '5 of Clubs', 'King of Diamonds', '5 of Diamonds', 'King of Clubs', '9 of Clubs']",10 of Hearts,1,3,0
"['10 of Hearts', '10 of Spades', 'Ace of Hearts', 'Jack of Hearts', 'King of Hearts', 'Ace of Spades', 'Ace of Diamonds', '5 of Clubs', 'King of Diamonds', '5 of Diamonds', 'King of Clubs', '9 of Clubs', '9 of Spades']",10 of Hearts,0,4,0
"['Jack of Hearts', '6 of Diamonds', '8 of Spades', '10 of Diamonds', '9 of Spades', '2 of Spades', 'Queen of Spades', '8 of Diamonds', 'King of Spades', '7 of Hearts', '4 of Spades']",Jack of Hearts,1,0,0
"['Jack of Hearts', '6 of Diamonds', '8 of Spades', '10 of Diamonds', '9 of Spades', '2 of Spades', 'Queen of Spades', '8 of Diamonds', 'King of Spades', '7 of Hearts', '4 of Spades', '3 of Hearts']",Jack of Hearts,0,1,0
"['Jack of Hearts', '6 of Diamonds', '8 of Spades', '10 of Diamonds', '9 of Spades', '2 of Spades', 'Queen of Spades', '8 of Diamonds', 'King of Spades', '7 of Hearts', '4 of Spades', '3 of Hearts']",Jack of Hearts,0,2,0
"['Jack of Hearts', '6 of Diamonds', '8 of Spades', '10 of Diamonds', '9 of Spades', '2 of Spades', 'Queen of Spades', '8 of Diamonds', 'King of Spades', '7 of Hearts', '4 of Spades', '3 of Hearts']",Jack of Hearts,0,3,0
"['Jack of Hearts', '6 of Diamonds', '8 of Spades', '10 of Diamonds', '9 of Spades', '2 of Spades', 'Queen of Spades', '8 of Diamonds', 'King of Spades', '7 of Hearts', '4 of Spades', '3 of Hearts']",Jack of Hearts,0,4,0
"['3 of Diamonds', '10 of Hearts', '4 of Diamonds', '9 of Clubs', '8 of Clubs', 'Ace of Clubs', '6 of Clubs', '10 of Spades', 'Jack of Clubs', '2 of Spades', 'Queen of Spades']",3 of Diamonds,2,0,0
"['3 of Diamonds', '10 of Hearts', '4 of Diamonds', '9 of Clubs', '8 of Clubs', 'Ace of Clubs', '6 of Clubs', '10 of Spades', 'Jack of Clubs', '2 of Spades', 'Queen of Spades', '2 of Hearts', '10 of Clubs']",3 of Diamonds,0,1,1
"['3 of Diamonds', '10 of Hearts', '4 of Diamonds', '9 of Clubs', '8 of Clubs', 'Ace of Clubs', '6 of Clubs', '10 of Spades', 'Jack of Clubs', '2 of Spades', 'Queen of Spades', '2 of Hearts', '10 of Clubs']",3 of Diamonds,0,2,1
"['3 of Diamonds', '10 of Hearts', '4 of Diamonds', '9 of Clubs', '8 of Clubs', 'Ace of Clubs', '6 of Clubs', '10 of Spades', 'Jack of Clubs', '2 of Spades', 'Queen of Spades', '2 of Hearts', '10 of Clubs']",3 of Diamonds,0,3,1
"['3 of Diamonds', '10 of Hearts', '4 of Diamonds', '9 of Clubs', '8 of Clubs', 'Ace of Clubs', '6 of Clubs', '10 of Spades', 'Jack of Clubs', '2 of Spades', 'Queen of Spades', '2 of Hearts', '10 of Clubs']",3 of Diamonds,0,4,1
"['6 of Spades', '9 of Hearts', '6 of Diamonds', 'King of Hearts', '2 of Clubs', '8 of Diamonds', '5 of Spades', '8 of Spades', '9 of Clubs', 'Queen of Hearts', 'Queen of Diamonds']",6 of Spades,1,0,1
"['6 of Spades', '9 of Hearts', '6 of Diamonds', 'King of Hearts', '2 of Clubs', '8 of Diamonds', '5 of Spades', '8 of Spades', '9 of Clubs', 'Queen of Hearts', 'Queen of Diamonds', '2 of Spades']",6 of Spades,0,1,1
"['6 of Spades', '9 of Hearts', '6 of Diamonds', 'King of Hearts', '2 of Clubs', '8 of Diamonds', '5 of Spades', '8 of Spades', '9 of Clubs', 'Queen of Hearts', 'Queen of Diamonds', '2 of Spades']",6 of Spades,0,2,1
"['6 of Spades', '9 of Hearts', '6 of Diamonds', 'King of Hearts', '2 of Clubs', '8 of Diamonds', '5 of Spades', '8 of Spades', '9 of Clubs', 'Queen of Hearts', 'Queen of Diamonds', '2 of Spades']",6 of Spades,0,3,1
"['6 of Spades', '9 of Hearts', '6 of Diamonds', 'King of Hearts', '2 of Clubs', '8 of Diamonds', '5 of Spades', '8 of Spades', '9 of Clubs', 'Queen of Hearts', 'Queen of Diamonds', '2 of Spades']",6 of Spades,0,4,1
"['5 of Diamonds', '9 of Diamonds', 'Jack of Hearts', '4 of Spades', '9 of Spades', 'Queen of Hearts', 'King of Diamonds', '3 of Diamonds', '7 of Clubs', '7 of Spades', 'Ace of Spades']",5 of Diamonds,0,0,1
"['5 of Diamonds', '9 of Diamonds', 'Jack of Hearts', '4 of Spades', '9 of Spades', 'Queen of Hearts', 'King of Diamonds', '3 of Diamonds', '7 of Clubs', '7 of Spades', 'Ace of Spades']",5 of Diamonds,0,1,1
"['5 of Diamonds', '9 of Diamonds', 'Jack of Hearts', '4 of Spades', '9 of Spades', 'Queen of Hearts', 'King of Diamonds', '3 of Diamonds', '7 of Clubs', '7 of Spades', 'Ace of Spades']",5 of Diamonds,0,2,1
"['5 of Diamonds', '9 of Diamonds', 'Jack of Hearts', '4 of Spades', '9 of Spades', 'Queen of Hearts', 'King of Diamonds', '3 of Diamonds', '7 of Clubs', '7 of Spades', 'Ace of Spades']",5 of Diamonds,0,3,1
"['5 of Diamonds', '9 of Diamonds', 'Jack of Hearts', '4 of Spades', '9 of Spades', 'Queen of Hearts', 'King of Diamonds', '3 of Diamonds', '7 of Clubs', '7 of Spades', 'Ace of Spades']",5 of Diamonds,0,4,1
"['7 of Clubs', 'King of Clubs', '9 of Spades', '2 of Spades', '6 of Spades', '10 of Spades', '6 of Clubs', '2 of Clubs', '7 of Spades', '4 of Clubs', 'Ace of Diamonds']",7 of Clubs,0,0,0
"['7 of Clubs', 'King of Clubs', '9 of Spades', '2 of Spades', '6 of Spades', '10 of Spades', '6 of Clubs', '2 of Clubs', '7 of Spades', '4 of Clubs', 'Ace of Diamonds']",7 of Clubs,2,1,0
"['7 of Clubs', 'King of Clubs', '9 of Spades', '2 of Spades', '6 of Spades', '10 of Spades', '6 of Clubs', '2 of Clubs', '7 of Spades', '4 of Clubs', 'Ace of Diamonds', '8 of Hearts', 'Queen of Hearts']",7 of Clubs,0,2,0
"['7 of Clubs', 'King of Clubs', '9 of Spades', '2 of Spades', '6 of Spades', '10 of Spades', '6 of Clubs', '2 of Clubs', '7 of Spades', '4 of Clubs', 'Ace of Diamonds', '8 of Hearts', 'Queen of Hearts']",7 of Clubs,1,3,0
"['7 of Clubs', 'King of Clubs', '9 of Spades', '2 of Spades', '6 of Spades', '10 of Spades', '6 of Clubs', '2 of Clubs', '7 of Spades', '4 of Clubs', 'Ace of Diamonds', '8 of Hearts', 'Queen of Hearts', '5 of Spades']",7 of Clubs,0,4,0
"['6 of Diamonds', '3 of Spades', '8 of Diamonds', '3 of Clubs', '4 of Spades', 'King of Diamonds', 'Jack of Hearts', 'Ace of Spades', 'Jack of Clubs', 'Queen of Hearts', '10 of Spades']",6 of Diamonds,1,0,1
"['6 of Diamonds', '3 of Spades', '8 of Diamonds', '3 of Clubs', '4 of Spades', 'King of Diamonds', 'Jack of Hearts', 'Ace of Spades', 'Jack of Clubs', 'Queen of Hearts', '10 of Spades', '8 of Spades']",6 of Diamonds,1,1,1
"['6 of Diamonds', '3 of Spades', '8 of Diamonds', '3 of Clubs', '4 of Spades', 'King of Diamonds', 'Jack of Hearts', 'Ace of Spades', 'Jack of Clubs', 'Queen of Hearts', '10 of Spades', '8 of Spades', 'Queen of Clubs']",6 of Diamonds,0,2,1
"['6 of Diamonds', '3 of Spades', '8 of Diamonds', '3 of Clubs', '4 of Spades', 'King of Diamonds', 'Jack of Hearts', 'Ace of Spades', 'Jack of Clubs', 'Queen of Hearts', '10 of Spades', '8 of Spades', 'Queen of Clubs']",6 of Diamonds,0,3,1
"['6 of Diamonds', '3 of Spades', '8 of Diamonds', '3 of Clubs', '4 of Spades', 'King of Diamonds', 'Jack of Hearts', 'Ace of Spades', 'Jack of Clubs', 'Queen of Hearts', '10 of Spades', '8 of Spades', 'Queen of Clubs']",6 of Diamonds,0,4,1
"['8 of Diamonds', 'Ace of Hearts', 'Queen of Spades', '2 of Diamonds', 'Queen of Diamonds', 'Jack of Diamonds', '4 of Spades', '6 of Hearts', '7 of Spades', '10 of Hearts', '7 of Clubs']",8 of Diamonds,1,0,1
"['8 of Diamonds', 'Ace of Hearts', 'Queen of Spades', '2 of Diamonds', 'Queen of Diamonds', 'Jack of Diamonds', '4 of Spades', '6 of Hearts', '7 of Spades', '10 of Hearts', '7 of Clubs', 'King of Diamonds']",8 of Diamonds,1,1,0
"['8 of Diamonds', 'Ace of Hearts', 'Queen of Spades', '2 of Diamonds', 'Queen of Diamonds', 'Jack of Diamonds', '4 of Spades', '6 of Hearts', '7 of Spades', '10 of Hearts', '7 of Clubs', 'King of Diamonds', 'Queen of Hearts']",8 of Diamonds,0,2,0
"['8 of Diamonds', 'Ace of Hearts', 'Queen of Spades', '2 of Diamonds', 'Queen of Diamonds', 'Jack of Diamonds', '4 of Spades', '6 of Hearts', '7 of Spades', '10 of Hearts', '7 of Clubs', 'King of Diamonds', 'Queen of Hearts']",8 of Diamonds,1,3,0
"['8 of Diamonds', 'Ace of Hearts', 'Queen of Spades', '2 of Diamonds', 'Queen of Diamonds', 'Jack of Diamonds', '4 of Spades', '6 of Hearts', '7 of Spades', '10 of Hearts', '7 of Clubs', 'King of Diamonds', 'Queen of Hearts', '9 of Diamonds']",8 of Diamonds,0,4,0
"['3 of Hearts', '10 of Spades', '5 of Spades', '2 of Clubs', '8 of Hearts', 'King of Clubs', '4 of Diamonds', 'Queen of Clubs', 'Ace of Hearts', '7 of Hearts', 'Queen of Spades']",3 of Hearts,1,0,0
"['3 of Hearts', '10 of Spades', '5 of Spades', '2 of Clubs', '8 of Hearts', 'King of Clubs', '4 of Diamonds', 'Queen of Clubs', 'Ace of Hearts', '7 of Hearts', 'Queen of Spades', '9 of Spades']",3 of Hearts,1,1,1
"['3 of Hearts', '10 of Spades', '5 of Spades', '2 of Clubs', '8 of Hearts', 'King of Clubs', '4 of Diamonds', 'Queen of Clubs', 'Ace of Hearts', '7 of Hearts', 'Queen of Spades', '9 of Spades', 'Jack of Spades']",3 of Hearts,0,2,0
"['3 of Hearts', '10 of Spades', '5 of Spades', '2 of Clubs', '8 of Hearts', 'King of Clubs', '4 of Diamonds', 'Queen of Clubs', 'Ace of Hearts', '7 of Hearts', 'Queen of Spades', '9 of Spades', 'Jack of Spades']",3 of Hearts,0,3,0
"['3 of Hearts', '10 of Spades', '5 of Spades', '2 of Clubs', '8 of Hearts', 'King of Clubs', '4 of Diamonds', 'Queen of Clubs', 'Ace of Hearts', '7 of Hearts', 'Queen of Spades', '9 of Spades', 'Jack of Spades']",3 of Hearts,0,4,0
"['2 of Clubs', 'Jack of Spades', 'King of Hearts', '2 of Diamonds', '4 of Hearts', 'Ace of Spades', 'Jack of Hearts', '3 of Spades', '7 of Spades', '8 of Hearts', '9 of Spades']",2 of Clubs,0,0,1
"['2 of Clubs', 'Jack of Spades', 'King of Hearts', '2 of Diamonds', '4 of Hearts', 'Ace of Spades', 'Jack of Hearts', '3 of Spades', '7 of Spades', '8 of Hearts', '9 of Spades']",2 of Clubs,1,1,1
"['2 of Clubs', 'Jack of Spades', 'King of Hearts', '2 of Diamonds', '4 of Hearts', 'Ace of Spades', 'Jack of Hearts', '3 of Spades', '7 of Spades', '8 of Hearts', '9 of Spades', '9 of Hearts']",2 of Clubs,0,2,1
"['2 of Clubs', 'Jack of Spades', 'King of Hearts', '2 of Diamonds', '4 of Hearts', 'Ace of Spades', 'Jack of Hearts', '3 of Spades', '7 of Spades', '8 of Hearts', '9 of Spades', '9 of Hearts']",2 of Clubs,1,3,1
"['2 of Clubs', 'Jack of Spades', 'King of Hearts', '2 of Diamonds', '4 of Hearts', 'Ace of Spades', 'Jack of Hearts', '3 of Spades', '7 of Spades', '8 of Hearts', '9 of Spades', '9 of Hearts', '5 of Spades']",2 of Clubs,0,4,1
"['4 of Clubs', '10 of Spades', 'King of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds', 'Ace of Spades', '3 of Diamonds', '9 of Spades', '5 of Hearts', '8 of Clubs']",4 of Clubs,0,0,1
"['4 of Clubs', '10 of Spades', 'King of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds', 'Ace of Spades', '3 of Diamonds', '9 of Spades', '5 of Hearts', '8 of Clubs']",4 of Clubs,1,1,1
"['4 of Clubs', '10 of Spades', 'King of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds', 'Ace of Spades', '3 of Diamonds', '9 of Spades', '5 of Hearts', '8 of Clubs', 'Queen of Spades']",4 of Clubs,0,2,1
"['4 of Clubs', '10 of Spades', 'King of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds', 'Ace of Spades', '3 of Diamonds', '9 of Spades', '5 of Hearts', '8 of Clubs', 'Queen of Spades']",4 of Clubs,0,3,1
"['4 of Clubs', '10 of Spades', 'King of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds', 'Ace of Spades', '3 of Diamonds', '9 of Spades', '5 of Hearts', '8 of Clubs', 'Queen of Spades']",4 of Clubs,0,4,1
"['8 of Diamonds', '5 of Spades', 'Jack of Diamonds', '10 of Diamonds', '9 of Spades', 'Queen of Diamonds', '7 of Diamonds', 'Queen of Clubs', '10 of Clubs', 'Ace of Hearts', '9 of Diamonds']",8 of Diamonds,1,0,0
"['8 of Diamonds', '5 of Spades', 'Jack of Diamonds', '10 of Diamonds', '9 of Spades', 'Queen of Diamonds', '7 of Diamonds', 'Queen of Clubs', '10 of Clubs', 'Ace of Hearts', '9 of Diamonds', '9 of Clubs']",8 of Diamonds,0,1,1
"['8 of Diamonds', '5 of Spades', 'Jack of Diamonds', '10 of Diamonds', '9 of Spades', 'Queen of Diamonds', '7 of Diamonds', 'Queen of Clubs', '10 of Clubs', 'Ace of Hearts', '9 of Diamonds', '9 of Clubs']",8 of Diamonds,0,2,1
"['8 of Diamonds', '5 of Spades', 'Jack of Diamonds', '10 of Diamonds', '9 of Spades', 'Queen of Diamonds', '7 of Diamonds', 'Queen of Clubs', '10 of Clubs', 'Ace of Hearts', '9 of Diamonds', '9 of Clubs']",8 of Diamonds,0,3,1
"['8 of Diamonds', '5 of Spades', 'Jack of Diamonds', '10 of Diamonds', '9 of Spades', 'Queen of Diamonds', '7 of Diamonds', 'Queen of Clubs', '10 of Clubs', 'Ace of Hearts', '9 of Diamonds', '9 of Clubs']",8 of Diamonds,0,4,1
"['3 of Spades', '4 of Clubs', '8 of Clubs', '9 of Hearts', '7 of Clubs', '3 of Hearts', 'Jack of Hearts', 'Ace of Clubs', '9 of Diamonds', '6 of Diamonds', '3 of Diamonds']",3 of Spades,1,0,0
"['3 of Spades', '4 of Clubs', '8 of Clubs', '9 of Hearts', '7 of Clubs', '3 of Hearts', 'Jack of Hearts', 'Ace of Clubs', '9 of Diamonds', '6 of Diamonds', '3 of Diamonds', 'Jack of Spades']",3 of Spades,0,1,0
"['3 of Spades', '4 of Clubs', '8 of Clubs', '9 of Hearts', '7 of Clubs', '3 of Hearts', 'Jack of Hearts', 'Ace of Clubs', '9 of Diamonds', '6 of Diamonds', '3 of Diamonds', 'Jack of Spades']",3 of Spades,0,2,0
"['3 of Spades', '4 of Clubs', '8 of Clubs', '9 of Hearts', '7 of Clubs', '3 of Hearts', 'Jack of Hearts', 'Ace of Clubs', '9 of Diamonds', '6 of Diamonds', '3 of Diamonds', 'Jack of Spades']",3 of Spades,1,3,0
"['3 of Spades', '4 of Clubs', '8 of Clubs', '9 of Hearts', '7 of Clubs', '3 of Hearts', 'Jack of Hearts', 'Ace of Clubs', '9 of Diamonds', '6 of Diamonds', '3 of Diamonds', 'Jack of Spades', '7 of Diamonds']",3 of Spades,0,4,0
"['5 of Hearts', 'Jack of Spades', '7 of Diamonds', '10 of Hearts', '9 of Clubs', '2 of Hearts', '8 of Diamonds', '8 of Clubs', '6 of Clubs', '2 of Spades', '10 of Spades']",5 of Hearts,0,0,1
"['5 of Hearts', 'Jack of Spades', '7 of Diamonds', '10 of Hearts', '9 of Clubs', '2 of Hearts', '8 of Diamonds', '8 of Clubs', '6 of Clubs', '2 of Spades', '10 of Spades']",5 of Hearts,0,1,1
"['5 of Hearts', 'Jack of Spades', '7 of Diamonds', '10 of Hearts', '9 of Clubs', '2 of Hearts', '8 of Diamonds', '8 of Clubs', '6 of Clubs', '2 of Spades', '10 of Spades']",5 of Hearts,0,2,1
"['5 of Hearts', 'Jack of Spades', '7 of Diamonds', '10 of Hearts', '9 of Clubs', '2 of Hearts', '8 of Diamonds', '8 of Clubs', '6 of Clubs', '2 of Spades', '10 of Spades']",5 of Hearts,0,3,1
"['5 of Hearts', 'Jack of Spades', '7 of Diamonds', '10 of Hearts', '9 of Clubs', '2 of Hearts', '8 of Diamonds', '8 of Clubs', '6 of Clubs', '2 of Spades', '10 of Spades']",5 of Hearts,0,4,1
"['4 of Hearts', '6 of Hearts', '9 of Clubs', '9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', '2 of Clubs', 'Jack of Hearts', 'King of Spades', '3 of Hearts']",4 of Hearts,1,0,1
"['4 of Hearts', '6 of Hearts', '9 of Clubs', '9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', '2 of Clubs', 'Jack of Hearts', 'King of Spades', '3 of Hearts', '4 of Diamonds']",4 of Hearts,1,1,1
"['4 of Hearts', '6 of Hearts', '9 of Clubs', '9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', '2 of Clubs', 'Jack of Hearts', 'King of Spades', '3 of Hearts', '4 of Diamonds', 'Queen of Spades']",4 of Hearts,0,2,1
"['4 of Hearts', '6 of Hearts', '9 of Clubs', '9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', '2 of Clubs', 'Jack of Hearts', 'King of Spades', '3 of Hearts', '4 of Diamonds', 'Queen of Spades']",4 of Hearts,1,3,1
"['4 of Hearts', '6 of Hearts', '9 of Clubs', '9 of Diamonds', '2 of Spades', '7 of Diamonds', '5 of Hearts', '2 of Clubs', 'Jack of Hearts', 'King of Spades', '3 of Hearts', '4 of Diamonds', 'Queen of Spades', '6 of Spades']",4 of Hearts,0,4,1
"['4 of Hearts', '5 of Hearts', '4 of Spades', '8 of Clubs', 'Ace of Hearts', 'Ace of Clubs', '6 of Spades', 'Ace of Diamonds', '7 of Diamonds', '6 of Hearts', '3 of Diamonds']",4 of Hearts,1,0,1
"['4 of Hearts', '5 of Hearts', '4 of Spades', '8 of Clubs', 'Ace of Hearts', 'Ace of Clubs', '6 of Spades', 'Ace of Diamonds', '7 of Diamonds', '6 of Hearts', '3 of Diamonds', 'Queen of Spades']",4 of Hearts,1,1,0
"['4 of Hearts', '5 of Hearts', '4 of Spades', '8 of Clubs', 'Ace of Hearts', 'Ace of Clubs', '6 of Spades', 'Ace of Diamonds', '7 of Diamonds', '6 of Hearts', '3 of Diamonds', 'Queen of Spades', '5 of Spades']",4 of Hearts,0,2,0
"['4 of Hearts', '5 of Hearts', '4 of Spades', '8 of Clubs', 'Ace of Hearts', 'Ace of Clubs', '6 of Spades', 'Ace of Diamonds', '7 of Diamonds', '6 of Hearts', '3 of Diamonds', 'Queen of Spades', '5 of Spades']",4 of Hearts,1,3,0
"['4 of Hearts', '5 of Hearts', '4 of Spades', '8 of Clubs', 'Ace of Hearts', 'Ace of Clubs', '6 of Spades', 'Ace of Diamonds', '7 of Diamonds', '6 of Hearts', '3 of Diamonds', 'Queen of Spades', '5 of Spades', '8 of Spades']",4 of Hearts,0,4,0
"['7 of Hearts', 'King of Diamonds', '10 of Clubs', '5 of Spades', '5 of Diamonds', 'Jack of Hearts', '7 of Diamonds', '6 of Hearts', 'Queen of Diamonds', 'Jack of Spades', '10 of Hearts']",7 of Hearts,0,0,1
"['7 of Hearts', 'King of Diamonds', '10 of Clubs', '5 of Spades', '5 of Diamonds', 'Jack of Hearts', '7 of Diamonds', '6 of Hearts', 'Queen of Diamonds', 'Jack of Spades', '10 of Hearts']",7 of Hearts,6,1,0
"['7 of Hearts', 'King of Diamonds', '10 of Clubs', '5 of Spades', '5 of Diamonds', 'Jack of Hearts', '7 of Diamonds', '6 of Hearts', 'Queen of Diamonds', 'Jack of Spades', '10 of Hearts', '3 of Diamonds', '7 of Spades', 'Jack of Clubs', '5 of Clubs', '3 of Hearts', '6 of Diamonds']",7 of Hearts,0,2,0
"['7 of Hearts', 'King of Diamonds', '10 of Clubs', '5 of Spades', '5 of Diamonds', 'Jack of Hearts', '7 of Diamonds', '6 of Hearts', 'Queen of Diamonds', 'Jack of Spades', '10 of Hearts', '3 of Diamonds', '7 of Spades', 'Jack of Clubs', '5 of Clubs', '3 of Hearts', '6 of Diamonds']",7 of Hearts,0,3,0
"['7 of Hearts', 'King of Diamonds', '10 of Clubs', '5 of Spades', '5 of Diamonds', 'Jack of Hearts', '7 of Diamonds', '6 of Hearts', 'Queen of Diamonds', 'Jack of Spades', '10 of Hearts', '3 of Diamonds', '7 of Spades', 'Jack of Clubs', '5 of Clubs', '3 of Hearts', '6 of Diamonds']",7 of Hearts,0,4,1
"['King of Clubs', 'Jack of Diamonds', '10 of Hearts', 'King of Hearts', '6 of Diamonds', '5 of Spades', '9 of Clubs', '5 of Clubs', '9 of Spades', '9 of Diamonds', '6 of Clubs']",King of Clubs,0,0,0
"['King of Clubs', 'Jack of Diamonds', '10 of Hearts', 'King of Hearts', '6 of Diamonds', '5 of Spades', '9 of Clubs', '5 of Clubs', '9 of Spades', '9 of Diamonds', '6 of Clubs']",King of Clubs,1,1,0
